il;the
essere;be
e;and
di;of
un;a
in;in
a;to
avere;have
esso;it
io;I
che;that
per;for
voi;you
lui;he
con;with
su;on
fare;do
dire;say
questo;this
essi;they
a;at
ma;but
noi;we
la sua;his
da;from
non;not
da;by
lei;she
o;or
come;as
cosa;what
andare;go
loro;their
che;who
ottenere;get
se;if
sarebbe;would
lei;her
tutto;all
il mio;my
rendere;make
circa;about
sapere;know
volontà;will
su;up
uno;one
potere;can
tempo;time
ci;there
anno;year
così;so
pensare;think
quando;when
che;which
loro;them
alcuni;some
me;me
persone;people
prendere;take
fuori;out
in;into
solo;just
vedere;see
lui;him
il vostro;your
venire;come
potuto;could
ora;now
di;than
come;like
altro;other
come;how
allora;then
la sua;its
il nostro;our
due;two
di più;more
queste;these
desiderare;want
modo;way
guardare;look
primo;first
anche;also
nuovo;new
perché;because
giorno;day
utilizzare;use
no;no
uomo;man
trovare;find
qui;here
cosa;thing
dare;give
molti;many
bene;well
solo;only
quelli;those
raccontare;tell
uno;one
molto;very
lei;her
anche;even
indietro;back
qualsiasi;any
buono;good
donna;woman
attraverso;through
noi;us
vita;life
bambino;child
ci;there
lavoro;work
giù;down
può;may
dopo;after
dovrebbe;should
chiamata;call
mondo;world
oltre;over
scuola;school
ancora;still
provare;try
in;in
come;as
ultimo;last
chiedere;ask
bisogno;need
troppo;too
sentire;feel
tre;three
quando;when
stato;state
mai;never
diventare;become
fra;between
alto;high
davvero;really
qualcosa;something
più;most
un altro;another
molto;much
famiglia;family
proprio;own
fuori;out
lasciare;leave
mettere;put
vecchio;old
mentre;while
dire;mean
su;on
mantenere;keep
studente;student
perché;why
lasciare;let
grande;great
stesso;same
grande;big
gruppo;group
inizio;begin
sembrare;seem
paese;country
aiutare;help
Discussioni;talk
dove;where
turno;turn
problema;problem
ogni;every
inizio;start
mano;hand
forza;might
spettacolo;show
parte;part
circa;about
contro;against
luogo;place
oltre;over
tale;such
di nuovo;again
pochi;few
caso;case
più;most
settimana;week
azienda;company
sistema;system
ogni;each
diritto;right
programma;program
sentire;hear
così;so
domanda;question
durante;during
lavoro;work
giocare;play
governo;government
correre;run
piccolo;small
numero;number
spento;off
sempre;always
spostare;move
come;like
notte;night
vivere;live
punto;point
credere;believe
tenere;hold
oggi;today
portare;bring
accadere;happen
prossimo;next
senza;without
prima;before
grande;large
tutto;all
milione;million
mosto;must
casa;home
sotto;under
acqua;water
camera;room
scrivere;write
madre;mother
area;area
nazionale;national
soldi;money
storia;story
giovane;young
mese;month
diverso;different
lotto;lot
diritto;right
studio;study
libro;book
occhio;eye
lavoro;job
parola;word
anche se;though
azienda;business
problema;issue
lato;side
tipo;kind
quattro;four
testa;head
lontano;far
nero;black
lungo;long
entrambi;both
piccolo;little
casa;house
sì;yes
dopo;after
da;since
fornire;provide
servizio;service
in giro;around
amico;friend
importante;important
padre;father
sedersi;sit
via;away
fino a;until
potenza;power
ora;hour
gioco;game
spesso;often
ancora;yet
linea;line
politico;political
fine;end
fra;among
mai;ever
stare in piedi;stand
male;bad
perdere;lose
tuttavia;however
membro;member
pagare;pay
legge;law
soddisfare;meet
auto;car
città;city
quasi;almost
includere;include
continue;continue
set;set
più tardi;later
comunità;community
molto;much
nome;name
cinque;five
una volta;once
bianco;white
meno;least
presidente;president
imparare;learn
reale;real
cambiamento;change
team;team
minuto;minute
migliore;best
alcuni;several
idea;idea
capretto;kid
corpo;body
informazioni;information
niente;nothing
fa;ago
diritto;right
portare;lead
sociale;social
capire;understand
se;whether
indietro;back
orologio;watch
insieme;together
