Globex,Exchange,Product Name,Group,Subgroup,Option?,Hours
GE,CME,Eurodollar Options,Interest Rate,Stirs,true,SUN-FRI: 5:00 p.m. - 4:00 p.m.,22:00UTC
GE,CME,Eurodollar Futures,Interest Rate,Stirs,false,SUN - FRI: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
ZF,CBOT,5-Year T-Note Futures,Interest Rate,US Treasury,false,SUN - FRI: 5:00 p.m. - 4:00 p.m.,22:00UTC
ZN,CBOT,10-Year T-Note Futures,Interest Rate,US Treasury,false,Sunday - Friday 6:00 p.m. - 5:00 p.m.ET (5:00 p.m. - 4:00 p.m. CT).&nbsp; Monday - Thursday 5:00 p.m,22:00UTC
LNE,NYMEX,Natural Gas Option (European),Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
GE3,CME,Eurodollar 3yr MC Options,Interest Rate,Stirs,true,SUN-FRI: 5:00 p.m. - 4:00 p.m.,22:00UTC
ES,CME,E-mini S&P 500 Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
CL,NYMEX,Crude Oil Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ZT,CBOT,2-Year T-Note Futures,Interest Rate,US Treasury,false,SUN - FRI: 5:00 p.m. - 4:00 p.m.,22:00UTC
GE2,CME,Eurodollar 2yr MC Options,Interest Rate,Stirs,true,SUN-FRI: 5:00 p.m. - 4:00 p.m.,22:00UTC
OZN,CBOT,10-Year T-Note Options,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
ZC,CBOT,Corn Futures,Agriculture,Grain And Oilseed,false,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and<br> Monday – Friday  8:30 a.m. – 1:20 p.m. CT<br> <br>,19:20UTC
GE0,CME,Eurodollar 1yr MC Options,Interest Rate,Stirs,true,SUN-FRI: 5:00 p.m. - 4:00 p.m.,22:00UTC
LO,NYMEX,Crude Oil Option,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
