Code,Exchange,Product Name,Group,Subgroup,Option?,Close
RS,IFUS,Canola Futures,Agriculture,Canola,false,19:20UTC
CC,IFUS,Cocoa Futures,Agriculture,Cocoa,false,18:30UTC
KC,IFUS,Coffee C ® Futures,Agriculture,Coffee,false,18:30UTC
CT,IFUS,Cotton No. 2 Futures,Agriculture,Cotton,false,19:20UTC
OJ,IFUS,FCOJ-A Futures,Agriculture,Frozen Orange Juice,false,19:00UTC
C,IFLX,London Cocoa Futures,Agriculture,Cocoa,false,16:55UTC
RC,IFLX,Robusta Coffee Futures,Agriculture,Coffee,false,17:30UTC
SB,IFUS,Sugar No. 11 Futures,Agriculture,Sugar,false,18:00UTC
SF,IFUS,Sugar No. 16 Futures,Agriculture,Sugar,false,18:00UTC
W,IFLX,White Sugar Futures,Agriculture,Sugar,false,18:00UTC
RS1,IFUS,Canola 1-month Calendar Spread Option,Agriculture,Canola,true,19:20UTC
RS,IFUS,Canola Options,Agriculture,Canola,true,19:20UTC
CC1,IFUS,Cocoa 1-Month Calendar Spread Option,Agriculture,Cocoa,true,18:30UTC
CC2,IFUS,Cocoa 2-Month Calendar Spread Option,Agriculture,Cocoa,true,18:30UTC
CC,IFUS,Cocoa Options,Agriculture,Cocoa,true,18:30UTC
KC1,IFUS,Coffee "C" 1-Month Calendar Spread Option,Agriculture,Coffee,true,18:30UTC
KC2,IFUS,Coffee "C" 2-Month Calendar Spread Option,Agriculture,Coffee,true,18:30UTC
KC,IFUS,Coffee C ® Options,Agriculture,Coffee,true,18:30UTC
CS,IFLX,Containerised White Sugar Futures,Agriculture,Sugar,false,18:00UTC
CT1,IFUS,Cotton No. 2 1-Month Calendar Spread Option,Agriculture,Cotton,true,19:30UTC
CT2,IFUS,Cotton No. 2 2-Month Calendar Spread Option,Agriculture,Cotton,true,19:30UTC
CT,IFUS,Cotton No. 2 Options,Agriculture,Cotton,true,19:20UTC
EC,IFLX,Euro Cocoa Futures,Agriculture,Cocoa,false,16:55UTC
EC,IFLX,Euro Cocoa Options,Agriculture,Cocoa,true,16:55UTC
OJ,IFUS,FCOJ-A Options,Agriculture,Frozen Orange Juice,true,19:00UTC
C1,IFLX,London Cocoa 1-Month Calendar Spread Option,Agriculture,Cocoa,true,16:55UTC
C2,IFLX,London Cocoa 2-Month Calendar Spread Option,Agriculture,Cocoa,true,16:55UTC
C,IFLX,London Cocoa Options,Agriculture,Cocoa,false,16:55UTC
RC1,IFLX,Robusta Coffee 1-Month Calendar Spread Option,Agriculture,Coffee,true,17:30UTC
RC2,IFLX,Robusta Coffee 2-Month Calendar Spread Option,Agriculture,Coffee,true,17:30UTC
RC,IFLX,Robusta Coffee Options,Agriculture,Coffee,false,17:30UTC
SB1,IFUS,Sugar No. 11 1-Month Calendar Spread Option,Agriculture,Sugar,true,18:00UTC
SB2,IFUS,Sugar No. 11 2-Month Calendar Spread Option,Agriculture,Sugar,true,18:00UTC
SB,IFUS,Sugar No. 11 Options,Agriculture,Sugar,true,18:00UTC
T,IFLX,UK Feed Wheat Futures,Agriculture,Grains,false,17:28UTC
T,IFLX,UK Feed Wheat Options,Agriculture,Grains,false,17:28UTC
KCW,IFUS,Weekly Coffee "C" Options,Agriculture,Coffee,true,19:00UTC
CTW,IFUS,Weekly Cotton No. 2 Options,Agriculture,Cotton,true,19:20UTC
SBW,IFUS,Weekly Sugar No. 11 Options,Agriculture,Sugar,true,18:00UTC
W,IFLX,White Sugar Options,Agriculture,Sugar,false,18:00UTC
HY5,IFUS,Eris CDX HY Credit Future (5 Year),Credit,Credit Indexes,false,23:00UTC
IG5,IFUS,Eris CDX IG Credit Future (5 Year),Credit,Credit Indexes,false,23:00UTC
BMC,IFSG,Bakkt ® Bitcoin (USD) Cash Settled Monthly Futures,Digital Assets,Bitcoin,false,23:00UTC
BTM,IFUS,Bakkt ® Bitcoin (USD) Monthly Futures,Digital Assets,Bitcoin,false,23:00UTC
BTM,IFUS,Option on Bakkt ® Bitcoin (USD) Monthly Futures,Digital Assets,Bitcoin,true,23:00UTC
AEC,IFED,AB NIT Basis Future,Energy,Natural Gas,false,23:00UTC
ATW,IFEU,API2 Rotterdam Coal Futures,Energy,Coal,false,23:00UTC
AFR,IFEU,API4 Richards Bay Coal Futures,Energy,Coal,false,23:00UTC
AEO,IFEU,Argus Eurobob Oxy FOB Rotterdam Barges Future,Energy,Crude Oil and Refined Products,false,23:00UTC
I,IFEU,Brent 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
B,IFEU,Brent Crude Futures,Energy,Crude Oil and Refined Products,true,23:00UTC
ABS,IFED,Butane  Argus Saudi CP Future,Energy,Natural Gas Liquids,false,23:00UTC
DBF,IFEU,Crude Diff - Dated Brent vs Brent 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
HOV,IFED,Crude Diff – Permian WTI 1st Line vs Brent 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
HOX,IFED,Crude Diff – Permian WTI 1st Line vs Dubai 1st Line (Platts) Future,Energy,Crude Oil and Refined Products,false,23:00UTC
HOW,IFED,Crude Diff – Permian WTI 1st Line vs WTI 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
HOZ,IFED,Crude Diff – Permian WTI Trade Month vs WTI Trade Month Future,Energy,Crude Oil and Refined Products,false,23:00UTC
PDB,IFEU,Dated Brent Future,Energy,Crude Oil and Refined Products,false,23:00UTC
DBI,IFEU,Dubai 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
TFM,NDEX,Dutch TTF Gas Futures,Energy,Natural Gas,false,17:00UTC
END,IFED,ERCOT North 345KV Real-Time Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
ETE,IFED,Ethane  OPIS Mt. Belvieu Non-TET Future,Energy,Natural Gas Liquids,false,23:00UTC
C,IFEU,EUA Futures,Energy,Emissions,false,17:00UTC
SZS,IFEU,Fuel Oil 180 CST Singapore Future,Energy,Crude Oil and Refined Products,false,23:00UTC
BAR,IFEU,Fuel Oil 3.5% FOB Rotterdam Barges Future,Energy,Crude Oil and Refined Products,false,23:00UTC
SYS,IFEU,Fuel Oil 380 CST Singapore Future,Energy,Crude Oil and Refined Products,false,23:00UTC
SMT,IFEU,Gasoline - Singapore Mogas 92 Unleaded (Platts) Future,Energy,Crude Oil and Refined Products,false,ERROR : TIME CANNOT BE FOUND ON WEB PAGE
GDO,IFED,Gasoline Diff - RBOB Gasoline 1st Line vs Argus Eurobob Oxy FOB Rotterdam Barge Future,Energy,Crude Oil and Refined Products,false,ERROR : TIME CANNOT BE FOUND ON WEB PAGE
GAB,NDEX,German Power Financial Base Futures,Energy,Electricity,false,17:00UTC
NCF,IFEU,globalCOAL Newcastle Coal Futures,Energy,Coal,false,23:00UTC
ULM,IFED,Heating Oil Arb - Heating Oil 1st Line vs Low Sulphur Gasoil 1st Line Future (in Bbls),Energy,Crude Oil and Refined Products,false,23:00UTC
NYH,IFED,Heating Oil Crack - NYH ULSHO 1st Line vs Brent 1st Line Future (in Bbls),Energy,Crude Oil and Refined Products,false,23:00UTC
NYW,IFED,Heating Oil Crack - NYH ULSHO 1st Line vs WTI 1st Line Future (in Bbls),Energy,Crude Oil and Refined Products,false,23:00UTC
NYF,IFED,Heating Oil Outright - NYH ULSHO 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
H,IFED,Henry LD1 Fixed Price Future,Energy,Natural Gas,false,23:00UTC
HHL,IFED,Henry LD1 Fixed Price Future 25K,Energy,Natural Gas,false,23:00UTC
HHD,IFED,Henry Swing Future,Energy,Natural Gas,false,23:00UTC
G,IFEU,Low Sulphur Gasoil Futures,Energy,Crude Oil and Refined Products,false,23:00UTC
MCC,IFED,MISO Indiana Hub Day-Ahead Peak Fixed Price Future,Energy,Electricity,false,23:00UTC
CIN,IFED,MISO Indiana Hub Real-Time Peak Fixed Price Future,Energy,Electricity,false,23:00UTC
NGE,IFED,Natural Gasoline  OPIS Mt. Belvieu Non-TET Future,Energy,Natural Gas Liquids,false,23:00UTC
NBI,IFED,Normal Butane  OPIS Mt. Belvieu Non-TET Future,Energy,Natural Gas Liquids,false,23:00UTC
HHR,IFED,Option on Henry Penultimate 4-Month Calendar Spread Future,Energy,Natural Gas,true,23:00UTC
HHV,IFED,Option on Henry Penultimate 5-Month Calendar Spread Future,Energy,Natural Gas,true,23:00UTC
PHE,IFED,Option on Henry Penultimate Fixed Price Future,Energy,Natural Gas,true,23:00UTC
HHP,IFED,Option On Henry Penultimate Fixed Price Future 25K,Energy,Natural Gas,true,23:00UTC
HOU,IFEU,Permian West Texas Intermediate (WTI) Crude Oil Future,Energy,Crude Oil and Refined Products,false,23:00UTC
DCP,IFED,PJM Day Day-Ahead Peak Fixed Price Future,Energy,Electricity,false,23:00UTC
PJC,IFED,PJM Western Hub Day-Ahead Peak Fixed Price Future,Energy,Electricity,false,23:00UTC
PJM,IFED,PJM Western Hub Real-Time Peak (800 MWh) Fixed Price Future,Energy,Electricity,false,23:00UTC
PMM,IFED,PJM Western Hub Real-Time Peak Calendar Year One Time Mini Fixed Price Future,Energy,Electricity,false,23:00UTC
APC,IFED,Propane  Argus CIF ARA Future,Energy,Natural Gas Liquids,false,23:00UTC
AFE,IFED,Propane  Argus Far East Index (AFEI) Future,Energy,Natural Gas Liquids,false,23:00UTC
SCP,IFED,Propane  Argus Saudi CP Future,Energy,Natural Gas Liquids,false,23:00UTC
PRL,IFED,Propane  OPIS Mt. Belvieu TET Future,Energy,Natural Gas Liquids,false,23:00UTC
CEK,IFED,Propane  OPIS Mt. Belvieu TET vs Propane  Argus CIF ARA Future,Energy,Natural Gas Liquids,false,23:00UTC
M,IFEU,UK Natural Gas Futures,Energy,Natural Gas,false,17:00UTC
